Disease,Recommendations
Anorexia nervoasa,"Restaurarea unei greutăți corporale normale și sigure. Tratarea tulburărilor psihologice asociate (depresie, anxietate, TOC). Eliminarea comportamentelor și gândurilor disfuncționale legate de alimentație și greutate. Terapie nutrițională și consiliere dietetică. Psihoterapie individuală. Terapie de grup. Terapie familială (în special pentru adolescenți, ex: modelul Maudsley). Abordare multidisciplinară (medic, psihiatru, psiholog, nutriționist). Monitorizare medicală frecventă pentru complicații fizice. Stabilizare medicală și refacere electrolitică în caz de urgență. Spitalizare (în cazuri severe, instabilitate medicală sau risc suicidar)."
Anorgasmia feminina,"Consiliere psihologică (pentru traume sexuale, inhibiții). Examinare ginecologică. Teste de sânge (HLG, profil hormonal: estradiol, testosteron, SHBG, FSH/LH, prolactină, tiroidă; glicemie, lipidemie). Consult medical la sexolog. Evaluarea fluxului de sânge genital. Evaluarea sensibilității genitale. Examinare neurologică. Aplicarea de plasturi hormonali. Administrarea de tablete hormonale. Dispozitive de vacuum clitorian. Psihoterapie (psihoanalitică, psihodinamică). Terapie cognitiv-comportamentală. Educație sexuală. Antrenarea aptitudinilor comunicative. Exerciții Kegel. Exerciții comportamentale implicând masturbarea (biblioterapie, terapie de grup, individuală, de cuplu). Reducerea dozei sau schimbarea antidepresivelor (dacă sunt cauza). Identificarea și tratarea abuzului de medicamente/droguri. Cercetări asupra regenerării nervilor (enzima sialidaza)."
Anorgasmia masculina - lipsa orgasmului la barbati,"Explorarea factorilor psihologici (dorinta sexuala diminuata, depresie, excitare scazuta, anxietate, oboseala, griji emotionale). Abordarea unei disfuncții sexuale a partenerei (absenta lubrificarii vaginale, durerea sexuala, libidoul scazut). Terapie sexuala (educarea cuplurilor in folosirea stimularii manuale sau vibratorii). Excluderea factorilor medicali asociati (consum de medicamente, probleme urinare). Analize de sange (evaluare nivel hormoni sexuali, PSA, TSH). Eliminarea cauzelor iatrogene (oprirea sau schimbarea medicamentelor cu risc). Consiliere (pentru pacientii cu vise umede normale dar anorgasmie in act sexual). Psihoterapie. Interventii cognitiv-comportamentale pentru diminuarea anxietatii de performanta. Educatie sexuala pentru a indeparta conceptiile gresite sau a elibera sentimentele de vina. Abordarea problemelor de cuplu sau maritale. Gestionarea stresului. Tratament psihodinamic (explorarea si intelegerea factorilor din antecedente, diminuarea anxietatii si vinei, corectarea gandurilor negative)."
Anosmia - pierderea mirosului,"Tratamentul bolii de bază. Intervenții chirurgicale pentru excizia polipilor. Intervenții chirurgicale pentru a corecta o deviație de sept. Intervenții chirurgicale pentru a goli sinusurile (drenaj). Soluție salină nazală. Excizia chirurgicală a vegetațiilor adenoide. Intervenția chirurgicală pentru obstrucții nazale (anomalii structurale, formațiuni). Antrenament olfactiv (mirosirea a 4 arome cunoscute, de două ori pe zi, timp de 3-4 luni). Controlul riguros al glicemiei (la pacienții cu diabet zaharat). Instalarea în locuință a detectoarelor de fum și de gaz. Etichetarea oricărui produs lichid depozitat artizanal. Citirea etichetelor și etichetarea alimentelor produse în casă pentru a detecta depășirea termenului de garanție."
Anovulația cronică,"Adenomectomie hipofizară transfenoidală (pentru anovulaţia hiperprolactinemică cauzată de tumori). Intervenții chirurgicale (pentru tumori ale sistemului nervos central în anovulaţia hipogonadotropă). Fertilizare in vitro (pentru anovulaţia hipergonadotropă, dacă se dorește sarcină)."
Anozognozia,"Nu există un tratament specific de lungă durată pentru anozognozie în sine. Tratamentul afecțiunii de bază (ex. AVC, traumatism cerebral) este esențial. Neuroreabilitarea (deși dificilă din cauza lipsei de conștientizare a bolii). Suport psihologic și psihoeducație pentru pacient (când este posibil) și familie. Crearea unei relații bazate pe încredere între pacient, familie și echipa medicală. Abordări comportamentale pentru a crește gradul de conștientizare (awareness). Tratamentul de tip constrângere (controversat din punct de vedere etic, aplicabil în situații specifice de risc vital sau incapacitate de autoîngrijire severă). Managementul siguranței pacientului pentru a preveni accidentele."
Anticorpii anti-receptori insulinici,"Administrarea unor doze mari de insulină pentru a depăși rezistența. Tratament cu steroizi (Prednison) în caz de alergie la insulină. Reducerea treptată a dozelor de Prednison odată cu scăderea necesarului de insulină și remisiunea reacției alergice (scăderea cu 10-20 mg la fiecare 10 zile, până la 5-10 mg zilnic, apoi întrerupere). Determinarea serică a anticorpilor anti-receptor insulină pentru evaluarea riscului de diabet zaharat tip I, monitorizarea pacienților cu rezistență și diferențierea tipurilor de diabet."
Antracoza,Încetarea expunerii la praf de cărbune și grafit. Oprirea fumatului. Vaccinarea împotriva infecțiilor respiratorii. Administrarea de oxigen suplimentar (în caz de hipoxemie sau hipertensiune pulmonară).
Antrax,Internare si izolare a bolnavilor pana la vindecare. Toaletarea si bandajarea leziunilor tegumentare. Vaccinare impotriva antraxului pentru persoanele cu risc (profilaxie). Vaccinarea animalelor ierbivore domestice (profilaxie). Incinerarea animalelor moarte prin antrax pentru a preveni raspandirea. Evitarea necropsierii animalelor bolnave dupa moarte pentru a preveni sporularea. Decontaminarea produselor de origine animala (ex. lana).
Antropofobia - frica patologică de oameni,terapia cognitiv-comportamentală. terapia expozițională (expunere controlată și treptată la situațiile sociale). terapie de grup. sprijinul prietenilor și al familiei. perseverență și răbdare în timpul procesului de recuperare. consultarea unui profesionist de sănătate mintală (psihiatru/psiholog) pentru diagnostic precis și tratament.
Anurie (lipsa urinarii),Hemostază (în caz de hemoragie). Hidratare pe cale parenterală (intravenoasă) - ex: ser fiziologic. Drenaj urinar de urgență cu sondă vezicală sau cateter suprapubian (în obstacol vezical). Nefrostomie sau ureterostomie (în obstacol supravezical). Îndepărtarea obstacolului după dezobstrucția urinară. Încetarea administrării medicamentelor responsabile. Umplere vasculară (expansiune volemică). Tratarea infecției (dacă este cazul). Echilibrare hidroelectrolitică.
Anxietatea,"Psihoterapie. Terapie cognitivă comportamentală (TCC). Educarea pacientului privind modificarea comportamentului în timpul atacurilor de panică. Limitarea gândirii distorsionate. Schimbarea modului de reacție în fața situațiilor declanșatoare. Terapie prin expunere (pentru fobii). Evitarea sedentarismului / activitate fizică regulată. Evitarea sau renunțarea la consumul de droguri și alcool. Evitarea sau limitarea consumului de tutun și băuturi cofeinizate. Utilizarea tehnicilor de gestionare a stresului și de relaxare. Păstrarea unei alimentații echilibrate și sănătoase (fructe, legume, cereale, pește). Asigurarea unui somn adecvat (minimum opt ore pe noapte). Solicitarea ajutorului medical la apariția simptomelor persistente."
Anxietatea de separare,Terapie cognitiv-comportamentală (TCC/CBT). Învățarea mecanismelor de adaptare la anxietate. Tehnici de relaxare. Respirație profundă. Terapia de interacțiune părinte-copil. Interacțiunea dirijată de copil (parte a terapiei de interacțiune părinte-copil). Interacțiunea dirijată de curaj (parte a terapiei de interacțiune părinte-copil). Interacțiunea dirijată de părinți (parte a terapiei de interacțiune părinte-copil). Terapie de grup. Terapie de familie. Terapia comportamentală dialectică (TCD).
Anxietatea de sănătate,"Asigurarea unui nivel de confort psihic și a unui climat psiho-protectiv. Ajutarea pacientului să nu se mai concentreze doar asupra temerilor sale, ci la lucrurile din jur și la acțiunile care îi fac plăcere. Stabilirea unei relații de încredere cu medicul/terapeutul. Minimalizarea și raționalizarea numărului examenelor medicale. Tratament specific pentru alte tulburări psihiatrice coexistente (dacă este cazul). Suport psihologic. Psihoterapie pentru identificarea și îndepărtarea factorului psiho-traumatizant declanșator. Terapie cognitiv-comportamentală (TCC) - pentru identificarea situațiilor și gândurilor care provoacă anxietatea, interpretarea corectă a simptomelor, viziune realistă asupra bolii, identificarea situației traumatizante, metode de coping, promovarea unei vieți active. Psihoterapie de grup (grupuri omogene). Psihoterapie individuală. Hipnoză. Ajutarea pacientului să își găsească forța interioară de a-și depăși temerile."
Anxietatea la copii,terapie cognitiv-comportamentală. tehnici de relaxare. terapia prin joc. yoga. meditație. implicarea părinților/îngrijitorilor ca model pozitiv. părinții/îngrijitorii să demonstreze modalități calme de a face față situațiilor stresante. ascultarea activă a copilului de către părinți/îngrijitori. încurajarea copilului să își exprime sentimentele.
Anxietatea socială la copii,Terapia cognitiv-comportamentală (TCC). Psihoterapie.
Aortita,Eradicarea infecției (dacă este cauza). Supresia bolii inflamatorii. Tratarea complicațiilor. Monitorizarea reactivării bolii. Angioplastie (pentru stenoze arteriale). Bypass chirurgical (pentru stenoze arteriale). Plasare de stenturi (pentru stenoze arteriale). Reparare chirurgicală a anevrismelor aortice (peste 5 cm). Intervenție chirurgicală pentru regurgitare aortică semnificativă. Intervenție chirurgicală pentru ischemie miocardică secundară afectării coronare. Intervenție chirurgicală pentru claudicație dizabilitantă neresponsivă la tratament. Intervenție chirurgicală pentru ischemie cerebrală. Prevenția aterosclerozei. Tratarea hipertensiunii arteriale secundare. Tratarea insuficienței cardiace congestive secundare. Monitorizarea nivelului de colesterol seric. Monitorizarea nivelului de homocisteină. Consultație Boli Infecțioase (pentru excluderea cauzelor infecțioase). Consultație Reumatologie (pentru investigarea bolilor imunologice). Consultație Cardiologie (pentru evaluarea complicațiilor cardiace).
Aortita luetica,Tratamentul precoce și corect al infecției sifilitice primare. Ameliorarea stării miocardului înainte de tratamentul specific. Controlul fenomenelor anginoase înainte de tratamentul specific. Prudență la administrarea Penicilinei din cauza riscului de reacții Herxheimer. Inițierea tratamentului specific cu medicamente cu acțiune treponemicidă redusă (ex: bismut) înainte de Penicilină.
Apendicita,"Tratament chirurgical (apendicectomie). Apendicectomie laparoscopica. Apendicectomie clasica (prin incizie Jalaguier sau McBurney). Ligatura si infundarea bontului apendicular in bursa cecala. Pentru plastron apendicular: expectativă terapeutică (2-3 luni) urmată de apendicectomie tardivă (""la rece""). Drenaj (în caz de abces sau peritonită). Pentru peritonita apendiculara: laparotomie mediana subombilicala, aspirarea continutului peritoneal, lavaj peritoneal, drenaj. Antibioterapie intravenoasa post-operatorie (conform antibiogramei). Pentru masa inflamatorie intraoperatorie: rezectie si ileostomie. Pentru abces pericolic: drenaj prin cateter percutan sub ghidaj echografic sau drenaj chirurgical prin apendicectomie. Dieta bogată în fibre (pentru prevenție)."
Apendicita acută la copil,"Oprirea alimentației (repauș digestiv). Administrarea fluidelor intravenos (hidratare). Apendicectomie laparoscopică (tratament de elecție). Apendicectomie clasică (în cazuri selectate). Consult chirurgical. Internare în spital. Investigații imagistice (ecografie abdominală, CT, IRM). Monitorizare clinică și de laborator. Utilizarea scorului PAS (Pediatric appendicitis score) pentru evaluarea riscului. Supraveghere la domiciliu (doar în cazuri cu risc foarte scăzut, după evaluare medicală)."
Apendicita acută în sarcină,"Tratament chirurgical (apendicectomie). Abordare chirurgicală clasică (deschisă). Abordare chirurgicală laparoscopică. Ecografie abdominală (pentru diagnostic). Imagistică prin rezonanță magnetică (IRM) (pentru cazuri neclare). Tomografie computerizată (CT) (rar, în cazuri selectate, contraindicat în primul trimestru)."
Aplazia cutanată congenitală,"Toaletă regulată a leziunilor mici. Curățarea blândă a zonei afectate. Intervenție chirurgicală (pentru leziuni mari, multiple sau profunde). Utilizarea grefelor de piele sau os (în cadrul intervenției chirurgicale). Evaluare medicală completă pentru identificarea afecțiunilor asociate (analize sânge, radiografii, ecografie/RMN, testare genetică)."
